gene_symbol,pearson_correlation
LSAMP,0.4969424605369568
CNTN2,0.489309161901474
GRIA2,0.4782523810863495
STMN4,0.47779062390327454
LRRTM2,0.4746669828891754
ELAVL3,0.4642922580242157
GDAP1L1,0.45941200852394104
CHRNB2,0.4577900171279907
ELAVL4,0.4571198523044586
AKAP6,0.4539281129837036
HMP19,0.4518866240978241
SORCS1,0.44858646392822266
DCX,0.44757404923439026
KCNJ9,0.4440024793148041
GRIA4,0.4439198076725006
SEZ6,0.4435081481933594
CNTNAP5,0.44071871042251587
FABP7,0.4387850761413574
CNTN6,0.438029408454895
RUFY3,0.43700578808784485
RFX4,0.43603989481925964
PAK3,0.43533000349998474
MAGI2,0.4349706470966339
VSTM2A,0.43439754843711853
DGKI,0.4342650771141052
CTNNA2,0.43419647216796875
DCC,0.43331578373908997
GRIA1,0.43182462453842163
ADGRB3,0.4308509826660156
ST8SIA3,0.42894402146339417
ADCYAP1R1,0.4277825653553009
NPAS3,0.4277685582637787
TAGLN3,0.4275873303413391
AP3B2,0.427324116230011
NCAN,0.4272390902042389
NTRK3,0.4271676242351532
FAM181B,0.42677032947540283
CLVS2,0.42538556456565857
AMER2,0.4251795709133148
GAP43,0.42383548617362976
PTPN5,0.42278575897216797
PTPRZ1,0.4227135181427002
TRPM3,0.422681599855423
KCNIP1,0.4216825067996979
SCG3,0.421604722738266
SCN3B,0.42075100541114807
SRGAP3,0.420380175113678
NRXN1,0.41884922981262207
SEZ6L,0.41825151443481445
TMEM196,0.41820141673088074
ADGRA1,0.41809919476509094
CADPS,0.4180438220500946
ADCY8,0.4171075224876404
APC,0.4166196882724762
NCAM1,0.41561099886894226
ASTN1,0.41556742787361145
SRRM4,0.41502001881599426
ACTL6B,0.41498085856437683
PPP2R2B,0.4149364233016968
TENM4,0.4146670997142792
KIF1B,0.412345826625824
CELF3,0.4119422733783722
NELL1,0.4117322266101837
RP3-403A15.5,0.4114646315574646
DCLK1,0.4105302095413208
FAM135B,0.40975260734558105
UNC80,0.40915241837501526
BAALC,0.4086607098579407
RGS8,0.4076652228832245
CSMD2,0.4073736071586609
TMEM151B,0.40730786323547363
VWC2L,0.4070386290550232
SCN2A,0.4070291817188263
SCN1A,0.40657728910446167
SYNPR,0.4063670039176941
ROBO2,0.4062840938568115
FAT3,0.40569189190864563
RIMBP2,0.405265748500824
GRIN2B,0.4044848084449768
PLPPR5,0.4044373035430908
GRIN2A,0.4037665128707886
MAP2,0.403180330991745
KCNH1,0.40263569355010986
NXPH1,0.40250566601753235
KCNA2,0.40206727385520935
CSRNP3,0.4016682207584381
CADM3,0.40137410163879395
FAIM2,0.4009888172149658
SLC4A8,0.4002102315425873
FGF14,0.3997988700866699
SYT11,0.3994762599468231
TNR,0.3987928628921509
LRRC55,0.39808449149131775
ANK2,0.39803647994995117
STMN2,0.39803168177604675
SCN3A,0.3974427282810211
PCDH15,0.3968784809112549
SCD5,0.39666521549224854
UNC79,0.39660894870758057
ADCY2,0.39596498012542725
